sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02680730,17/07/2012,848,0.42,Ideal,D,SI1,62.1,58,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.83,4.81,2.99,1,RD,2019,GIA,"true"
LD02730302,12/08/2012,1374,0.51,Ideal,F,SI1,61.2,57,Thin to Medium,Excellent,Very Good,None,None,5.17,5.14,3.15,1.01,RD,2694,GIA,"true"
LD02717401,05/08/2012,509,0.34,Ideal,G,SI1,62.6,55,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.47,4.49,2.81,1,RD,1497,GIA,"true"
LD02751230,25/08/2012,18928,2.01,Very Good,H,VS2,64.1,56,Medium to Slightly Thick,Excellent,Excellent,None,None,7.96,7.92,5.09,1.01,RD,9417,GIA,"true"
LD02697484,24/07/2012,3725,0.7,Ideal,H,VVS2,62,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.69,5.71,3.53,1,RD,5321,GIA,"true"
LD02679575,14/07/2012,833,0.34,Ideal,D,VS1,62,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.52,4.5,2.8,1,RD,2450,GIA,"true"
LD02697736,24/07/2012,5218,1.22,Fair,I,VVS1,85.2,77,Very Thick to Extremely Thick,Very Good,Excellent,None,Faint,5.59,5.33,4.54,1.05,PR,4277,GIA,"true"
LD02707108,31/07/2012,9206,1.01,Good,F,VVS1,64,59,Slightly Thick to Thick,Very Good,Excellent,None,None,6.3,6.23,4.01,1.01,RD,9115,GIA,"true"
LD02748621,24/08/2012,653,0.3,Very Good,E,VVS2,63.4,57,Medium to Thick,Very Good,Excellent,None,None,4.24,4.22,2.68,1,RD,2177,GIA,"true"
LD02732450,14/08/2012,221,0.23,Good,E,SI2,72.9,79,Very Thick to Extremely Thick,Good,Very Good,None,None,3.36,3.22,2.35,1.04,PR,961,GIA,"true"
LD02644450,11/07/2012,945,0.4,Very Good,F,VVS2,61.8,59,Medium to Slightly Thick,Excellent,Good,None,None,4.7,4.74,2.92,1.01,RD,2363,GIA,"true"
LD02656872,07/07/2012,1365,0.4,Ideal,E,VVS1,62.1,56,Medium to Slightly Thick,Very Good,Excellent,None,None,4.71,4.74,2.94,1.01,RD,3413,GIA,"true"
LD02660499,01/07/2012,1475,0.52,Ideal,G,SI1,60.2,57,Thin to Medium,Excellent,Excellent,None,None,5.25,5.24,3.16,1,RD,2837,GIA,"true"
LD02696572,22/07/2012,8744,1.51,Good,F,SI2,75.3,66,Slightly Thick to Very Thick,Very Good,Very Good,None,None,6.35,6.05,4.55,1.05,PR,5791,GIA,"true"
LD02753393,28/08/2012,2797,0.61,Ideal,F,VS1,62.1,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.43,5.44,3.37,1,RD,4585,GIA,"true"
