fetch_date,sku,price
02/07/2012,LD02660645,1352
02/07/2012,LD02660602,1355
02/07/2012,LD02659910,1421
02/07/2012,LD02622833,1438
02/07/2012,LD02653032,1442
02/07/2012,LD02661757,1459
02/07/2012,LD02652817,1481
02/07/2012,LD02601426,1488
02/07/2012,LD02653381,1610
02/07/2012,LD02655668,1613
02/07/2012,LD02662190,1620
02/07/2012,LD02660015,1694
02/07/2012,LD02661544,1816
02/07/2012,LD02659989,1872
02/07/2012,LD02660638,1892
02/07/2012,LD02653044,2007
02/07/2012,LD02652859,2121
02/07/2012,LD02653587,2154
02/07/2012,LD02655694,2154
02/07/2012,LD02639854,2167
02/07/2012,LD02661326,2179
02/07/2012,LD02652929,2200
02/07/2012,LD02653239,2239
02/07/2012,LD02639682,2253
02/07/2012,LD02639801,2325
02/07/2012,LD02655762,2332
02/07/2012,LD02655558,2366
02/07/2012,LD02661000,2381
02/07/2012,LD02659891,2385
02/07/2012,LD02655641,2427
02/07/2012,LD02661147,2519
02/07/2012,LD02660912,1472
02/07/2012,LD02635321,1156
02/07/2012,LD02635316,1298
02/07/2012,LD02652712,1543
02/07/2012,LD02660931,952
02/07/2012,LD02635329,1212
02/07/2012,LD02660804,868
02/07/2012,LD02660963,1211
02/07/2012,LD02661782,1226
02/07/2012,LD02590708,513
02/07/2012,LD02658537,753
02/07/2012,LD02622660,884
02/07/2012,LD02639626,1112
02/07/2012,LD02604901,1344
02/07/2012,LD02620821,1398
02/07/2012,LD02653536,712
02/07/2012,LD02661284,744
02/07/2012,LD02661030,758
02/07/2012,LD02655597,789
02/07/2012,LD02660798,800
02/07/2012,LD02658654,827
02/07/2012,LD02658545,846
02/07/2012,LD02602362,967
02/07/2012,LD02652904,1153
02/07/2012,LD02596534,1189
02/07/2012,LD02600159,611
02/07/2012,LD02653511,633
02/07/2012,LD02662068,684
02/07/2012,LD02653713,909
02/07/2012,LD02661645,984
02/07/2012,LD02662230,821
02/07/2012,LD02662288,611
02/07/2012,LD02652735,700
02/07/2012,LD02662242,617
02/07/2012,LD02661732,621
02/07/2012,LD02661582,631
02/07/2012,LD02661319,868
02/07/2012,LD02612446,946
02/07/2012,LD02655384,1055
02/07/2012,LD02662161,527
02/07/2012,LD02660962,680
02/07/2012,LD02661405,784
02/07/2012,LD02641540,882
02/07/2012,LD02655715,520
02/07/2012,LD02662222,559
02/07/2012,LD02146331,596
02/07/2012,LD02661152,597
02/07/2012,LD02652663,624
02/07/2012,LD02662292,668
02/07/2012,LD02661171,761
02/07/2012,LD02653669,817
02/07/2012,LD02618497,954
02/07/2012,LD02661538,538
02/07/2012,LD02661912,542
02/07/2012,LD02661380,552
02/07/2012,LD02658657,576
02/07/2012,LD02658689,576
02/07/2012,LD02661881,582
02/07/2012,LD02661145,584
02/07/2012,LD02661379,647
02/07/2012,LD02658777,683
02/07/2012,LD02658749,729
02/07/2012,LD02639902,861
02/07/2012,LD02639758,864
02/07/2012,LD02639954,1162
02/07/2012,LD02660942,476
02/07/2012,LD02661451,477
02/07/2012,LD02655507,497
02/07/2012,LD02655796,504
02/07/2012,LD02661901,514
02/07/2012,LD02662129,514
02/07/2012,LD02661903,518
02/07/2012,LD02661381,524
02/07/2012,LD02611951,553
02/07/2012,LD02622797,612
02/07/2012,LD02622832,612
02/07/2012,LD02661795,654
02/07/2012,LD02639887,657
02/07/2012,LD02639684,661
02/07/2012,LD02622791,672
02/07/2012,LD02662241,675
02/07/2012,LD02652573,706
02/07/2012,LD02653443,714
02/07/2012,LD02639690,721
02/07/2012,LD02639634,735
02/07/2012,LD02652808,739
02/07/2012,LD02653556,744
02/07/2012,LD02652880,876
02/07/2012,LD02639704,892
02/07/2012,LD02660257,410
02/07/2012,LD02660171,421
03/07/2012,LD02570541,672185
03/07/2012,LD02663832,27171
03/07/2012,LD02663086,39140
03/07/2012,LD02663864,50206
03/07/2012,LD02626718,42305
03/07/2012,LD02659056,17178
03/07/2012,LD02596205,22142
03/07/2012,LD02617558,70534
03/07/2012,LD02632560,16512
03/07/2012,LD02656200,16649
03/07/2012,LD02659080,16944
03/07/2012,LD02664595,31571
03/07/2012,LD02632562,17183
03/07/2012,LD02537659,14660
03/07/2012,LD02662345,19441
03/07/2012,LD02596191,13433
03/07/2012,LD02661348,26964
03/07/2012,LD02659113,9797
03/07/2012,LD02596204,8475
03/07/2012,LD02617748,11197
03/07/2012,LD02656122,11164
03/07/2012,LD02660997,7216
03/07/2012,LD02658730,8739
03/07/2012,LD02609301,9506
03/07/2012,LD02664029,7599
03/07/2012,LD02660515,6366
03/07/2012,LD02662819,7804
03/07/2012,LD02663117,5168
03/07/2012,LD02650752,6160
03/07/2012,LD02659103,6846
03/07/2012,LD02659085,9505
03/07/2012,LD02662787,7407
03/07/2012,LD02598688,11847
03/07/2012,LD02656354,4916
03/07/2012,LD02640103,9348
03/07/2012,LD02662356,13125
03/07/2012,LD02627074,9042
03/07/2012,LD02642336,6307
03/07/2012,LD02658442,9126
03/07/2012,LD02661504,4514
03/07/2012,LD02656194,3185
03/07/2012,LD02656343,4061
03/07/2012,LD02663124,5256
03/07/2012,LD02659047,7202
03/07/2012,LD02626966,20433
03/07/2012,LD02658560,25451
03/07/2012,LD02660443,3153
03/07/2012,LD02661492,3958
03/07/2012,LD02658547,4953
03/07/2012,LD02661614,5133
03/07/2012,LD02661848,5568
03/07/2012,LD02658839,7238
03/07/2012,LD02663893,7561
03/07/2012,LD02660988,9297
03/07/2012,LD02664636,10427
03/07/2012,LD02659062,11147
03/07/2012,LD02660367,4632
03/07/2012,LD02663079,4845
03/07/2012,LD02641363,4960
03/07/2012,LD02626006,5286
03/07/2012,LD02650597,5782
03/07/2012,LD02663863,6109
03/07/2012,LD02663914,7877
03/07/2012,LD02662791,8025
03/07/2012,LD02656188,10759
03/07/2012,LD02660390,12030
03/07/2012,LD02663241,4180
03/07/2012,LD02661718,6240
03/07/2012,LD02605259,4014
03/07/2012,LD02655766,4572
03/07/2012,LD02660427,2835
03/07/2012,LD02660426,2974
03/07/2012,LD02661685,3662
03/07/2012,LD02652935,3878
03/07/2012,LD02653458,4238
03/07/2012,LD02652744,4404
03/07/2012,LD02655494,4641
03/07/2012,LD02640395,7380
03/07/2012,LD02660245,4049
03/07/2012,LD02660653,4010
03/07/2012,LD02656278,3100
03/07/2012,LD02663626,3906
03/07/2012,LD02655593,3178
03/07/2012,LD02658880,3200
03/07/2012,LD02661139,3228
03/07/2012,LD02628065,3619
03/07/2012,LD02663180,2725
03/07/2012,LD02663370,3607
03/07/2012,LD02622891,2985
03/07/2012,LD02663085,1860
03/07/2012,LD02596007,2184
03/07/2012,LD02652777,2614
03/07/2012,LD02622806,3338
03/07/2012,LD02655735,1753
03/07/2012,LD02656316,2220
03/07/2012,LD02595624,3048
03/07/2012,LD02622648,3227
03/07/2012,LD02626946,3886
03/07/2012,LD02662037,4204
03/07/2012,LD02661890,1817
03/07/2012,LD02653055,2035
03/07/2012,LD02653496,2070
03/07/2012,LD02652867,2407
03/07/2012,LD02661644,2426
03/07/2012,LD02614666,2577
03/07/2012,LD02655632,2638
03/07/2012,LD02661351,2682
03/07/2012,LD02663590,3118
03/07/2012,LD02655821,3198
03/07/2012,LD02539350,3367
03/07/2012,LD02626920,3454
03/07/2012,LD02599916,4109
03/07/2012,LD02661747,2829
03/07/2012,LD02653567,3414
03/07/2012,LD02652684,1952
03/07/2012,LD02661540,2423
03/07/2012,LD02662576,3240
03/07/2012,LD02662166,1323
03/07/2012,LD02660215,1363
03/07/2012,LD02661826,1376
03/07/2012,LD02653006,1944
03/07/2012,LD02663703,2632
03/07/2012,LD02652709,1317
03/07/2012,LD02661898,1761
03/07/2012,LD02662921,1836
03/07/2012,LD02661035,1955
03/07/2012,LD02650780,2124
