date,sku,price
25/06/2012,LD02634555,803
25/06/2012,LD02637760,807
25/06/2012,LD02626415,826
25/06/2012,LD02616253,991
25/06/2012,LD02635702,1055
25/06/2012,LD02633195,1098
25/06/2012,LD02635882,1170
25/06/2012,LD02599912,1186
25/06/2012,LD02609330,1258
25/06/2012,LD02619744,1326
25/06/2012,LD02635720,1364
25/06/2012,LD02598431,1392
25/06/2012,LD02599310,1871
25/06/2012,LD02616829,610
25/06/2012,LD02637554,623
25/06/2012,LD02609193,703
25/06/2012,LD02620245,728
25/06/2012,LD02628437,777
25/06/2012,LD02467184,836
25/06/2012,LD02633054,851
25/06/2012,LD02637340,888
25/06/2012,LD02636173,917
25/06/2012,LD02634375,928
25/06/2012,LD02593170,991
25/06/2012,LD02611157,1055
25/06/2012,LD02635679,1104
25/06/2012,LD02602875,1185
25/06/2012,LD02613853,1226
25/06/2012,LD02598086,1827
25/06/2012,LD02617079,584
25/06/2012,LD02616906,594
25/06/2012,LD02635801,672
25/06/2012,LD02637861,689
25/06/2012,LD02616974,718
25/06/2012,LD02637950,722
25/06/2012,LD02606126,737
25/06/2012,LD02618471,758
25/06/2012,LD02620416,758
25/06/2012,LD02635729,768
25/06/2012,LD02604870,770
25/06/2012,LD02615617,784
25/06/2012,LD02611885,786
25/06/2012,LD02599211,787
25/06/2012,LD02635743,803
25/06/2012,LD02627327,825
25/06/2012,LD02599871,826
25/06/2012,LD02604039,833
25/06/2012,LD02618047,833
25/06/2012,LD02635761,837
25/06/2012,LD02612506,842
25/06/2012,LD02628443,846
25/06/2012,LD02622996,851
25/06/2012,LD02600388,859
25/06/2012,LD02623189,861
25/06/2012,LD02597956,901
25/06/2012,LD02609190,918
25/06/2012,LD02636136,922
25/06/2012,LD02600352,935
25/06/2012,LD02629388,949
25/06/2012,LD02600463,967
25/06/2012,LD02613527,977
25/06/2012,LD02622921,981
25/06/2012,LD02631207,984
25/06/2012,LD02625828,1002
25/06/2012,LD02600592,1030
25/06/2012,LD02601770,1034
25/06/2012,LD02605885,1066
25/06/2012,LD02601239,1082
25/06/2012,LD02597454,1137
25/06/2012,LD02631108,1137
25/06/2012,LD02602464,1153
25/06/2012,LD02602443,1157
25/06/2012,LD02601059,1175
25/06/2012,LD02598374,1193
25/06/2012,LD02634665,1193
25/06/2012,LD02631443,1204
25/06/2012,LD02600554,1206
25/06/2012,LD02601886,1241
25/06/2012,LD02631376,1246
25/06/2012,LD02599178,1253
25/06/2012,LD02611126,1320
25/06/2012,LD02598067,1340
25/06/2012,LD02604507,1340
25/06/2012,LD02604763,1340
25/06/2012,LD02635871,714
25/06/2012,LD02605047,927
25/06/2012,LD02467185,574
25/06/2012,LD02604623,821
25/06/2012,LD02603757,847
25/06/2012,LD02621794,892
25/06/2012,LD02602484,986
25/06/2012,LD02623852,1224
25/06/2012,LD02628960,519
25/06/2012,LD02589687,652
25/06/2012,LD02634595,775
25/06/2012,LD02635677,830
25/06/2012,LD02631358,837
25/06/2012,LD02622796,893
25/06/2012,LD02608841,1025
25/06/2012,LD02627478,1032
25/06/2012,LD02627014,639
25/06/2012,LD02605559,667
25/06/2012,LD02619662,680
25/06/2012,LD02600446,791
25/06/2012,LD02616509,803
25/06/2012,LD02597602,815
25/06/2012,LD02586854,901
25/06/2012,LD02591343,931
25/06/2012,LD02618847,521
25/06/2012,LD02615194,541
25/06/2012,LD02628610,640
25/06/2012,LD02621845,701
25/06/2012,LD02637054,743
25/06/2012,LD02622456,761
25/06/2012,LD02616134,817
25/06/2012,LD02591299,818
25/06/2012,LD02633073,821
25/06/2012,LD02636068,912
25/06/2012,LD02620166,482
25/06/2012,LD02619716,566
25/06/2012,LD02624184,579
25/06/2012,LD02636138,627
25/06/2012,LD02602538,643
25/06/2012,LD02634877,722
25/06/2012,LD02631146,810
25/06/2012,LD02632995,826
25/06/2012,LD02620054,878
25/06/2012,LD02633480,899
25/06/2012,LD02637346,962
25/06/2012,LD02637946,428
25/06/2012,LD02614925,554
25/06/2012,LD02627540,562
25/06/2012,LD02606247,565
25/06/2012,LD02636887,603
25/06/2012,LD02619708,605
25/06/2012,LD02617607,612
25/06/2012,LD02599635,621
25/06/2012,LD02633595,630
25/06/2012,LD02602302,633
25/06/2012,LD02636322,638
25/06/2012,LD02622325,671
25/06/2012,LD02635960,685
25/06/2012,LD02611556,757
25/06/2012,LD02603725,842
25/06/2012,LD02632099,842
25/06/2012,LD02627338,878
25/06/2012,LD02599390,943
25/06/2012,LD02634201,980
25/06/2012,LD02611513,1059
25/06/2012,LD02615751,449
